,Target
2350,0.0
2351,0.0
2352,-28.800000000002456
2353,0.0
2354,-28.799999999998363
2355,0.0
2356,-28.799999999998363
2357,0.0
2358,-28.800000000002456
2359,0.0
2360,-28.799999999998363
2361,0.0
2362,0.0
2363,-28.800000000002456
2364,0.0
2365,-28.799999999998363
2366,0.0
2367,-28.799999999998363
2368,0.0
2369,0.0
2370,-28.800000000002456
2371,0.0
2372,-28.799999999998363
2373,0.0
2374,0.0
2375,-28.800000000002456
2376,-28.799999999998363
2377,-28.799999999998363
2378,0.0
2379,0.0
2380,-28.800000000002456
2381,-28.799999999998363
2382,0.0
2383,0.0
2384,-28.800000000002456
2385,0.0
2386,-28.799999999998363
2387,0.0
2388,-28.799999999998363
2389,-28.800000000002456
2390,0.0
2391,0.0
2392,-28.799999999998363
2393,0.0
2394,-28.800000000002456
2395,0.0
2396,0.0
2397,0.0
2398,-28.799999999998363
2399,-28.799999999998363
2400,-28.800000000002456
2401,0.0
2402,0.0
2403,-28.799999999998363
2404,0.0
2405,-28.800000000002456
2406,0.0
2407,0.0
2408,0.0
2409,-28.799999999998363
2410,0.0
2411,0.0
2412,-28.799999999998363
2413,-28.800000000002456
2414,-28.799999999998363
2415,0.0
2416,0.0
2417,-28.800000000002456
2418,0.0
2419,-28.799999999998363
2420,0.0
2421,-28.799999999998363
2422,0.0
2423,0.0
2424,-28.800000000002456
2425,0.0
2426,-28.799999999998363
2427,0.0
2428,-28.800000000002456
2429,0.0
2430,0.0
2431,0.0
2432,0.0
2433,-28.799999999998363
2434,0.0
2435,-57.60000000000082
2436,-43.20000000000164
2437,-28.800000000002456
2438,-28.799999999998363
2439,-28.800000000002456
2440,-28.799999999998363
2441,-28.799999999998363
2442,-28.799999999998363
2443,-14.399999999999181
2444,0.0
2445,-28.799999999998363
2446,-28.799999999998363
2447,0.0
2448,-28.800000000002456
2449,0.0
2450,0.0
2451,-28.799999999998363
2452,0.0
2453,-28.800000000002456
2454,0.0
2455,-28.799999999998363
2456,0.0
2457,-28.799999999998363
2458,0.0
2459,-28.800000000002456
2460,0.0
2461,0.0
2462,-28.799999999998363
2463,0.0
2464,-28.800000000002456
2465,0.0
2466,-28.799999999998363
2467,0.0
2468,0.0
2469,0.0
2470,0.0
2471,-28.80000000000041
2472,0.0
2473,-28.80000000000041
2474,0.0
2475,-28.799999999998363
2476,0.0
2477,0.0
2478,-28.80000000000041
2479,0.0
2480,0.0
2481,-28.80000000000041
2482,0.0
2483,-28.80000000000041
2484,0.0
2485,-57.59999999999877
2486,0.0
2487,0.0
2488,-28.80000000000041
2489,0.0
2490,0.0
2491,-28.80000000000041
2492,0.0
2493,0.0
2494,0.0
2495,-57.60000000000082
2496,0.0
2497,0.0
2498,0.0
2499,0.0
2500,-28.799999999998363
2501,-28.80000000000041
2502,0.0
2503,0.0
2504,0.0
2505,-28.80000000000041
2506,0.0
2507,-28.80000000000041
2508,0.0
2509,-28.80000000000041
2510,-28.799999999998363
2511,-28.799999999998363
2512,-28.799999999998363
2513,0.0
2514,0.0
2515,-28.80000000000041
2516,0.0
2517,-28.80000000000041
2518,0.0
2519,0.0
2520,-28.80000000000041
2521,-28.80000000000041
2522,-43.19999999999959
2523,-57.59999999999877
2524,0.0
2525,0.0
2526,-28.80000000000041
2527,0.0
2528,-28.80000000000041
2529,-28.80000000000041
2530,-28.80000000000041
2531,-28.80000000000041
2532,-28.80000000000041
2533,0.0
2534,0.0
2535,-28.799999999998363
2536,0.0
2537,-28.80000000000041
2538,-28.80000000000041
2539,0.0
2540,0.0
2541,-28.80000000000041
2542,0.0
2543,0.0
2544,-28.80000000000041
2545,0.0
2546,0.0
2547,-28.799999999998363
2548,0.0
2549,0.0
2550,-28.80000000000041
2551,-28.80000000000041
2552,0.0
2553,0.0
2554,-28.80000000000041
2555,-28.80000000000041
2556,0.0
2557,-28.799999999998363
2558,0.0
2559,-28.80000000000041
2560,0.0
2561,-28.80000000000041
2562,0.0
2563,-28.80000000000041
2564,0.0
2565,-28.80000000000041
2566,-28.799999999998363
2567,0.0
2568,0.0
2569,-28.80000000000041
2570,0.0
2571,0.0
2572,-28.80000000000041
2573,-28.80000000000041
2574,0.0
2575,-28.80000000000041
2576,0.0
2577,-28.799999999998363
2578,0.0
2579,-28.80000000000041
2580,-28.80000000000041
2581,0.0
2582,0.0
2583,-28.80000000000041
2584,0.0
2585,-28.80000000000041
2586,0.0
2587,-28.799999999998363
2588,0.0
2589,-28.80000000000041
2590,-28.80000000000041
2591,0.0
2592,0.0
2593,0.0
2594,0.0
2595,0.0
2596,0.0
2597,0.0
2598,0.0
2599,-28.799999999998363
2600,0.0
2601,-28.800000000002456
2602,-28.799999999998363
2603,0.0
2604,-28.800000000002456
2605,0.0
2606,-28.799999999998363
2607,0.0
2608,0.0
2609,-28.799999999998363
2610,-28.800000000002456
2611,-28.799999999998363
2612,0.0
2613,-28.800000000002456
2614,0.0
2615,-28.799999999998363
2616,0.0
2617,-28.799999999998363
2618,-28.800000000002456
2619,-28.800000000002456
2620,-28.800000000002456
2621,0.0
2622,-28.799999999998363
2623,0.0
2624,-28.800000000002456
2625,0.0
2626,-28.799999999998363
2627,-28.799999999998363
2628,0.0
2629,0.0
2630,0.0
2631,-28.800000000002456
2632,0.0
2633,-28.799999999998363
2634,-28.800000000002456
2635,0.0
2636,-28.799999999998363
2637,0.0
2638,-28.80000000000041
2639,0.0
2640,-28.80000000000041
2641,0.0
2642,-28.799999999998363
2643,0.0
2644,-28.80000000000041
2645,0.0
2646,0.0
2647,-28.80000000000041
2648,0.0
2649,-57.60000000000082
2650,0.0
2651,-28.799999999998363
2652,0.0
2653,0.0
2654,0.0
2655,-28.80000000000041
2656,-28.80000000000041
2657,-23.040000000000326
2658,-17.280000000000246
2659,-11.520000000000167
2660,-5.760000000000083
2661,0.0
2662,0.0
2663,-28.800000000002456
2664,-57.599999999996726
2665,-28.800000000002456
2666,-14.400000000001228
2667,0.0
2668,-28.800000000002456
2669,-28.799999999998363
2670,-28.800000000002456
2671,-28.799999999998363
2672,0.0
2673,0.0
2674,0.0
2675,0.0
2676,0.0
2677,0.0
2678,-28.799999999998363
2679,0.0
2680,-28.800000000002456
2681,0.0
2682,-28.799999999998363
2683,-28.800000000002456
2684,0.0
2685,0.0
2686,0.0
2687,-28.799999999998363
2688,-28.799999999998363
2689,0.0
2690,-28.800000000002456
2691,0.0
2692,-28.799999999998363
2693,-28.800000000002456
2694,0.0
2695,0.0
2696,-28.799999999998363
2697,0.0
2698,0.0
2699,-57.60000000000082
2700,0.0
2701,0.0
2702,-28.799999999998363
2703,0.0
2704,-28.800000000002456
2705,0.0
2706,0.0
2707,0.0
2708,-28.799999999998363
2709,0.0
2710,0.0
2711,-28.799999999998363
2712,-28.800000000002456
2713,-28.799999999998363
2714,-28.800000000002456
2715,0.0
2716,0.0
2717,0.0
2718,-28.799999999998363
2719,0.0
2720,-28.80000000000041
2721,0.0
2722,-28.80000000000041
2723,0.0
2724,-28.799999999998363
2725,-28.80000000000041
2726,-28.80000000000041
2727,-28.80000000000041
2728,0.0
2729,-28.80000000000041
2730,0.0
2731,0.0
2732,-28.80000000000041
2733,0.0
2734,-28.80000000000041
2735,0.0
2736,-28.799999999998363
2737,0.0
2738,-28.80000000000041
2739,-28.80000000000041
2740,-57.60000000000082
2741,-28.799999999998363
2742,0.0
2743,-28.80000000000041
2744,0.0
2745,-28.80000000000041
2746,-28.80000000000041
2747,0.0
2748,-28.80000000000041
2749,0.0
2750,-28.799999999998363
2751,-14.399999999999181
2752,0.0
2753,0.0
2754,-57.59999999999877
2755,-71.99999999999898
2756,-86.39999999999918
2757,-86.39999999999918
2758,-43.19999999999959
2759,0.0
2760,0.0
2761,0.0
2762,0.0
2763,-28.80000000000041
2764,0.0
2765,-28.80000000000041
2766,0.0
2767,0.0
2768,-28.799999999998363
2769,-28.80000000000041
2770,-28.80000000000041
2771,0.0
2772,0.0
2773,-28.80000000000041
2774,0.0
2775,-28.80000000000041
2776,0.0
2777,0.0
2778,-28.799999999998363
2779,0.0
2780,0.0
2781,-28.80000000000041
2782,0.0
2783,-28.80000000000041
2784,0.0
2785,-28.80000000000041
2786,-28.80000000000041
2787,0.0
2788,0.0
2789,-28.799999999998363
2790,-28.80000000000041
2791,0.0
2792,0.0
2793,0.0
2794,0.0
2795,-28.80000000000041
2796,-28.80000000000041
2797,0.0
2798,0.0
2799,-28.80000000000041
2800,0.0
2801,-28.799999999998363
2802,0.0
